,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barrow,0,AR,1536378768,81,-38.31,-60.23,41.58,5.73
1,Mataura,0,NZ,1536378768,74,-46.19,168.86,56.25,4.72
2,Puerto Ayora,32,EC,1536378769,100,-0.74,-90.35,71.19,12.44
3,Hermanus,92,ZA,1536378769,89,-34.42,19.24,48.51,6.17
4,Ribeira Grande,88,PT,1536378769,99,38.52,-28.7,74.25,4.5
5,Saint-Philippe,1,CA,1536376500,55,45.36,-73.48,62.6,5.82
6,Camacha,40,PT,1536377400,72,33.08,-16.33,68.0,9.17
7,Rikitea,92,PF,1536378705,100,-23.12,-134.97,71.55,29.1
8,Avarua,40,CK,1536375600,69,-21.21,-159.78,77.0,5.82
9,Tuatapere,8,NZ,1536378771,92,-46.13,167.69,51.3,4.72
10,Punta Arenas,20,CL,1536375600,100,-53.16,-70.91,35.6,3.36
11,Skeldon,0,GY,1536378772,100,5.88,-57.13,80.82,10.98
12,Dikson,56,RU,1536378772,100,73.51,80.55,36.54,10.98
13,Ushuaia,20,AR,1536375600,74,-54.81,-68.31,37.4,6.93
14,Tuktoyaktuk,90,CA,1536375600,86,69.44,-133.03,33.8,4.7
15,Vaini,68,IN,1536378773,100,15.34,74.49,70.56,4.94
16,Mahebourg,40,MU,1536375600,68,-20.41,57.7,71.6,12.75
17,Adrar,0,DZ,1536375600,15,27.87,-0.29,86.0,11.41
18,Bollnas,92,SE,1536378774,100,61.35,16.39,56.7,6.4
19,Nabire,44,ID,1536378774,80,-3.36,135.5,79.56,2.59
20,Airai,0,TL,1536378774,36,-8.93,125.41,86.49,2.15
21,Andros Town,75,BS,1536375600,83,24.73,-77.79,78.8,6.93
22,Saquarema,0,BR,1536375600,72,-22.93,-42.51,68.0,5.82
23,Butaritari,48,KI,1536378775,100,3.07,172.79,85.95,5.84
24,Avera,1,US,1536377700,84,33.19,-82.53,82.04,4.27
25,Havre-Saint-Pierre,20,CA,1536375600,87,50.23,-63.6,44.6,9.17
26,Bluff,0,AU,1536378776,41,-23.58,149.07,84.51,8.52
27,Hobart,40,AU,1536377400,38,-42.88,147.33,60.8,6.93
28,Lorengau,92,PG,1536378747,100,-2.02,147.27,77.13,9.31
29,Saint-Pierre,0,FR,1536377400,87,48.95,4.24,48.2,3.36
30,Busselton,92,AU,1536378777,95,-33.64,115.35,62.46,20.83
31,Norman Wells,75,CA,1536375600,86,65.28,-126.83,37.4,10.29
32,Georgetown,0,GY,1536375600,100,6.8,-58.16,75.2,4.7
33,Kapaa,20,US,1536375360,79,22.08,-159.32,86.0,17.22
34,Hilo,1,US,1536375360,74,19.71,-155.08,82.04,9.17
35,Hithadhoo,80,MV,1536378779,100,-0.6,73.08,82.35,7.96
36,Sitka,88,US,1536378779,90,37.17,-99.65,67.95,8.41
37,Arraial do Cabo,0,BR,1536378780,100,-22.97,-42.02,65.97,10.76
38,Birao,80,CF,1536378780,100,10.3,22.78,69.3,5.39
39,Lasa,20,CY,1536377400,78,34.92,32.53,73.4,5.82
40,Pringsewu,44,ID,1536378781,61,-5.36,104.98,87.03,2.71
41,Lakki Marwat,0,PK,1536378781,62,32.61,70.91,83.7,3.71
42,Cape Town,40,ZA,1536375600,93,-33.93,18.42,44.6,2.24
43,La Ronge,75,CA,1536375600,71,55.1,-105.3,53.6,9.17
44,Port Hedland,0,AU,1536377400,12,-20.31,118.58,87.8,17.22
45,Limulunga,88,ZM,1536378782,39,-15.13,23.15,72.99,0.69
46,East London,80,ZA,1536378718,100,-33.02,27.91,57.15,10.2
47,Khunti,40,IN,1536377400,88,23.08,85.28,77.0,2.24
48,Vostok,92,RU,1536378783,99,46.45,135.83,50.31,4.05
49,Bredasdorp,88,ZA,1536375600,87,-34.53,20.04,50.0,10.29
50,Faanui,8,PF,1536378742,100,-16.48,-151.75,78.12,9.98
51,Wakkanai,40,JP,1536375600,63,45.41,141.67,66.2,20.8
52,New Norfolk,40,AU,1536377400,38,-42.78,147.06,60.8,6.93
53,Guerrero Negro,0,MX,1536378785,84,27.97,-114.04,71.55,11.21
54,Bambous Virieux,40,MU,1536375600,68,-20.34,57.76,71.6,12.75
55,Haines Junction,92,CA,1536378785,48,60.75,-137.51,49.14,3.38
56,Biloela,0,AU,1536378786,53,-24.4,150.51,79.65,11.1
57,Portel,40,PT,1536375600,93,38.31,-7.71,59.0,3.36
58,Yerbogachen,36,RU,1536378786,51,61.28,108.01,46.62,3.71
59,Honiara,80,SB,1536378787,86,-9.43,159.96,79.74,3.04
60,Ixtapa,90,MX,1536374400,100,20.71,-105.21,77.0,5.82
61,Armstrong,90,CA,1536377940,63,50.44,-119.19,66.2,4.7
62,Caravelas,92,BR,1536378788,100,-17.73,-39.27,72.63,17.81
63,Araouane,8,ML,1536378788,37,18.9,-3.53,84.96,4.94
64,Clyde River,20,CA,1536376440,100,70.47,-68.59,30.2,5.82
65,Ostrovnoy,88,RU,1536378744,93,68.05,39.51,42.03,9.19
66,Lompoc,1,US,1536377700,77,34.64,-120.46,62.96,8.05
67,Middelburg,76,ZA,1536378789,92,-25.77,29.46,54.0,5.73
68,Lufkin,75,US,1536376200,96,31.34,-94.73,78.08,2.59
69,Qaanaaq,0,GL,1536378706,100,77.48,-69.36,26.55,4.38
70,Thompson,40,CA,1536375600,80,55.74,-97.86,39.2,6.4
71,Nikolskoye,90,RU,1536375600,100,59.7,30.79,57.2,2.24
72,Taksimo,8,RU,1536378791,50,56.36,114.84,38.25,2.59
73,Karratha,0,AU,1536378791,20,-20.74,116.85,84.96,8.52
74,Vao,88,EE,1536378792,81,59.1,26.19,60.3,3.94
75,Khatanga,68,RU,1536378792,76,71.98,102.47,40.59,9.64
76,Raudeberg,0,NO,1536376800,67,61.99,5.14,59.0,5.82
77,Albany,75,US,1536375240,60,42.65,-73.75,64.94,5.82
78,Castro,80,CL,1536378793,97,-42.48,-73.76,43.56,2.93
79,Port Hardy,90,CA,1536375600,93,50.7,-127.42,57.2,8.05
80,Yellowknife,90,CA,1536375600,71,62.45,-114.38,51.8,8.05
81,Kaitangata,0,NZ,1536378794,75,-46.28,169.85,52.56,6.17
82,Tiksi,92,RU,1536378722,100,71.64,128.87,37.71,16.02
83,Banda Aceh,44,ID,1536378795,82,5.56,95.32,80.91,3.04
84,Dalby,90,AU,1536375600,56,-27.18,151.26,73.4,17.22
85,Fare,100,PF,1536378796,100,-16.7,-151.02,77.76,11.43
86,Geraldton,5,CA,1536375600,72,49.72,-86.95,37.4,4.05
87,Ouesso,92,CG,1536378796,100,1.61,16.05,69.12,0.69
88,Talnakh,44,RU,1536378797,92,69.49,88.39,37.8,4.61
89,Avila,1,US,1536376740,100,38.91,-76.61,75.02,5.82
90,Pechenga,24,RU,1536378798,81,58.89,41.46,54.36,4.72
91,Agua Verde,40,MX,1536374400,100,22.89,-105.97,80.6,3.36
92,Malasila,40,PH,1536375600,62,6.94,125.13,89.6,8.05
93,Shakiso,0,ET,1536378799,91,5.77,38.9,48.33,1.59
94,Shimoda,75,JP,1536375600,88,34.7,138.93,82.4,19.46
95,Baturaja,0,ID,1536378800,60,-4.12,104.17,89.64,5.73
96,Khani,75,GE,1536375600,93,41.96,42.96,66.2,3.36
97,Maebaru,75,JP,1536375600,83,33.55,130.2,71.6,4.7
98,Serov,0,RU,1536378800,84,59.61,60.57,52.47,3.38
99,Buraydah,0,SA,1536375600,44,26.33,43.97,77.0,5.82
100,Cidreira,0,BR,1536378802,84,-30.17,-50.22,54.81,5.17
101,Aklavik,20,CA,1536375600,69,68.22,-135.01,37.4,2.24
102,Jamestown,0,AU,1536378803,48,-33.21,138.6,58.68,14.45
103,Walvis Bay,0,NA,1536378803,100,-22.95,14.51,53.1,17.47
104,Yazd,0,IR,1536375600,13,31.89,54.36,82.4,4.7
105,Saint George,20,GR,1536376800,64,39.45,22.34,69.8,3.38
106,Sawtell,75,AU,1536377820,82,-30.38,153.1,68.0,21.92
107,Road Town,1,VG,1536375180,79,18.42,-64.62,80.96,5.82
108,Spanish Town,20,JM,1536375600,70,18.0,-76.95,84.2,3.36
